Variable,Value
latest.student.demographics.first_generation,0.4362119725
latest.student.demographics.median_hh_income,87732
latest.student.demographics.over_23_at_entry,0.36000001430511
latest.student.demographics.age_entry_squared,
latest.student.demographics.avg_family_income,34234
latest.student.demographics.race_ethnicity.aian,0.0016
latest.student.demographics.race_ethnicity.nhpi,0.0012
latest.student.demographics.race_ethnicity.asian,0.1223
latest.student.demographics.race_ethnicity.black,0.2507
latest.student.demographics.race_ethnicity.white,0.1936
latest.student.demographics.race_ethnicity.unknown,0.0022
latest.student.demographics.race_ethnicity.api_2000,
latest.student.demographics.race_ethnicity.hispanic,0.3017
latest.student.demographics.race_ethnicity.aian_2000,
latest.student.demographics.race_ethnicity.black_2000,
latest.student.demographics.race_ethnicity.white_2000,
latest.student.demographics.race_ethnicity.two_or_more,0.0399
latest.student.demographics.race_ethnicity.unknown_2000,
latest.student.demographics.race_ethnicity.hispanic_2000,
latest.student.demographics.race_ethnicity.aian_prior_2009,
latest.student.demographics.race_ethnicity.black_non_hispanic,
latest.student.demographics.race_ethnicity.non_resident_alien,0.0868
latest.student.demographics.race_ethnicity.white_non_hispanic,
latest.student.demographics.race_ethnicity.hispanic_prior_2009,
latest.student.demographics.race_ethnicity.asian_pacific_islander,
latest.student.demographics.median_family_income,26000
latest.student.demographics.median_hh_income_log,11
latest.student.demographics.share_asian.home_ZIP,10.3000001907348
latest.student.demographics.share_black.home_ZIP,24.5900001525878
latest.student.demographics.share_white.home_ZIP,54.9199981689453
latest.student.demographics.avg_family_income_log,
latest.student.demographics.student_faculty_ratio,17
latest.student.demographics.share_born_US.home_ZIP,72
latest.student.demographics.share_hispanic.home_ZIP,13.1700000762939
latest.student.demographics.non_resident_aliens_2000,
latest.student.demographics.avg_family_income_independents,22296
latest.student.demographics.avg_family_income_independents_log,
latest.student.demographics.share_bachelors_degree_age25.home_ZIP,24.3199996948242
latest.student.demographics.share_professional_degree_age25.home_ZIP,21
latest.student.FAFSA_applications,7719
latest.student.fafsa_sent.overall,
latest.student.fafsa_sent.1_college,
latest.student.fafsa_sent.3_college,
latest.student.fafsa_sent.2_colleges,
latest.student.fafsa_sent.4_colleges,
latest.student.fafsa_sent.2_college_allyrs,0.4342531416
latest.student.fafsa_sent.3_college_allyrs,0.2653193419
latest.student.fafsa_sent.4_college_allyrs,0.1912164788
latest.student.fafsa_sent.5_or_more_colleges,
latest.student.fafsa_sent.5plus_college_allyrs,0.1441896619
latest.student.part_time_share_2000,
latest.student.family_income.overall,7719
latest.student.family_income.dependent_students,5247
latest.student.family_income.independent_students,2472
latest.student.share_firstgeneration,0.4362119725
latest.student.parents_education_level,6114
latest.student.share_lowincome.0_30000,0.5443710325
latest.student.valid_dependency_status,7719
latest.student.students_with_pell_grant,0.8536079803
latest.student.share_first.time_full.time,0.4435
latest.student.share_independent_students,0.3202487369
latest.student.share_highincome.110001plus,0.0428812022
latest.student.share_highincome.75001_110000,0.0560953491
latest.student.undergrads_non_degree_seeking,4261
latest.student.share_middleincome.30001_48000,0.2131105065
latest.student.share_middleincome.48001_75000,0.1435419096
latest.student.avg_dependent_income.2014dollars,39858
latest.student.retention_rate.overall.full_time,0.7777
latest.student.retention_rate.four_year.full_time,
latest.student.retention_rate.four_year.part_time,
latest.student.retention_rate.four_year.full_time_pooled,
latest.student.retention_rate.four_year.part_time_pooled,
latest.student.retention_rate.lt_four_year.full_time,0.7777
latest.student.retention_rate.lt_four_year.part_time,0.5177
latest.student.retention_rate.lt_four_year.full_time_pooled,0.7643
latest.student.retention_rate.lt_four_year.part_time_pooled,0.5371
latest.student.retention_rate.pooled_yrs_used.full_time,2
latest.student.retention_rate.pooled_yrs_used.part_time,2
latest.student.retention_rate.cohort.four_year.full_time_pooled,
latest.student.retention_rate.cohort.four_year.part_time_pooled,
latest.student.retention_rate.cohort.lt_four_year.full_time_pooled,3038
latest.student.retention_rate.cohort.lt_four_year.part_time_pooled,1966
latest.student.avg_independent_income.2014dollars,22296
latest.student.share_dependent_lowincome.0_300000,0.4678864113
latest.student.share_independent_lowincome.0_30000,0.7067152104
latest.student.share_dependent_highincome.110001plus,0.0571755289
latest.student.share_dependent_highincome.75001_110000,0.0708976558
latest.student.share_independent_highincome.110001plus,0.0125404531
latest.student.share_independent_highincome.75001_110000,0.0246763754
latest.student.share_dependent_middleincome.48001_75000,0.1738136078
latest.student.share_dependent_middleincome.300001_48000,0.2302267963
latest.student.share_firstgeneration_parents.highschool,0.3624468433
latest.student.share_firstgeneration_parents.somecollege,0.5637880275
latest.student.share_firstgeneration_parents.middleschool,0.0737651292
latest.student.share_independent_middleincome.30001_48000,0.1767799353
latest.student.share_independent_middleincome.48001_75000,0.0792880259
latest.student.undergrads_with_pell_grant_or_federal_student_loan,17137
latest.student.retention_rate_suppressed.four_year.full_time_pooled,
latest.student.retention_rate_suppressed.four_year.part_time_pooled,
latest.student.retention_rate_suppressed.lt_four_year.full_time_pooled,0.7643
latest.student.retention_rate_suppressed.lt_four_year.part_time_pooled,0.5371
latest.student.dcs_undergrads_with_pell_grant_or_federal_student_loan,13357
latest.student.ftft_undergrads_with_pell_grant_or_federal_student_loan,1552
latest.student.dcs_undergrads_with_pell_grant_or_federal_student_loan_pooled,27007
latest.student.ftft_undergrads_with_pell_grant_or_federal_student_loan_pooled,3038
latest.cost.booksupply,1232
latest.cost.tuition.in_state,5394
latest.cost.tuition.out_of_state,14250
latest.cost.tuition.program_year,
latest.cost.roomboard.oncampus,
latest.cost.roomboard.offcampus,16724
latest.cost.title_iv.public.all,625
latest.cost.title_iv.public.by_income_level.0-30000,266
latest.cost.title_iv.public.by_income_level.110001-plus,18
latest.cost.title_iv.public.by_income_level.30001-48000,176
latest.cost.title_iv.public.by_income_level.48001-75000,128
latest.cost.title_iv.public.by_income_level.75001-110000,37
latest.cost.title_iv.private.all,
latest.cost.title_iv.private.by_income_level.0-30000,
latest.cost.title_iv.private.by_income_level.110001-plus,
latest.cost.title_iv.private.by_income_level.30001-48000,
latest.cost.title_iv.private.by_income_level.48001-75000,
latest.cost.title_iv.private.by_income_level.75001-110000,
latest.cost.title_iv.program_year,
latest.cost.title_iv.academic_year,
latest.cost.title_iv.program_reporter.by_income_level.0-30000,
latest.cost.title_iv.program_reporter.by_income_level.110001-plus,
latest.cost.title_iv.program_reporter.by_income_level.30001-48000,
latest.cost.title_iv.program_reporter.by_income_level.48001-75000,
latest.cost.title_iv.program_reporter.by_income_level.75001-110000,
latest.cost.title_iv.other_acad_calendar.by_income_level.0-30000,
latest.cost.title_iv.other_acad_calendar.by_income_level.110001-plus,
latest.cost.title_iv.other_acad_calendar.by_income_level.30001-48000,
latest.cost.title_iv.other_acad_calendar.by_income_level.48001-75000,
latest.cost.title_iv.other_acad_calendar.by_income_level.75001-110000,
latest.cost.avg_net_price.public,7240
latest.cost.avg_net_price.overall,7240
latest.cost.avg_net_price.private,
latest.cost.avg_net_price.program_year,
latest.cost.avg_net_price.other_academic_year,
latest.cost.avg_net_price.consumer.overall_median,16818.5
latest.cost.avg_net_price.consumer.median_by_pred_degree,9197
latest.cost.otherexpense.oncampus,
latest.cost.otherexpense.offcampus,4905
latest.cost.otherexpense.withfamily,4905
latest.cost.attendance.program_year,
latest.cost.attendance.academic_year,14410
latest.cost.net_price.public.by_income_level.0-30000,6119
latest.cost.net_price.public.by_income_level.0-48000,6449
latest.cost.net_price.public.by_income_level.75000-plus,11209
latest.cost.net_price.public.by_income_level.110001-plus,12923
latest.cost.net_price.public.by_income_level.30001-48000,6948
latest.cost.net_price.public.by_income_level.30001-75000,7503
latest.cost.net_price.public.by_income_level.48001-75000,8266
latest.cost.net_price.public.by_income_level.75001-110000,10375
latest.cost.net_price.private.by_income_level.0-30000,
latest.cost.net_price.private.by_income_level.0-48000,
latest.cost.net_price.private.by_income_level.75000-plus,
latest.cost.net_price.private.by_income_level.110001-plus,
latest.cost.net_price.private.by_income_level.30001-48000,
latest.cost.net_price.private.by_income_level.30001-75000,
latest.cost.net_price.private.by_income_level.48001-75000,
latest.cost.net_price.private.by_income_level.75001-110000,
latest.cost.net_price.consumer.by_income_level.0-30000,6119
latest.cost.net_price.consumer.by_income_level.0-48000,6449
latest.cost.net_price.consumer.by_income_level.75000-plus,11209
latest.cost.net_price.consumer.by_income_level.110001-plus,12923
latest.cost.net_price.consumer.by_income_level.30001-48000,6948
latest.cost.net_price.consumer.by_income_level.30001-75000,7503
latest.cost.net_price.consumer.by_income_level.48001-75000,8266
latest.cost.net_price.consumer.by_income_level.750001-111000,10375
latest.cost.net_price.program_reporter.by_income_level.0-30000,
latest.cost.net_price.program_reporter.by_income_level.0-48000,
latest.cost.net_price.program_reporter.by_income_level.75000-plus,
latest.cost.net_price.program_reporter.by_income_level.110001-plus,
latest.cost.net_price.program_reporter.by_income_level.30001-48000,
latest.cost.net_price.program_reporter.by_income_level.30001-75000,
latest.cost.net_price.program_reporter.by_income_level.48001-75000,
latest.cost.net_price.program_reporter.by_income_level.75001-110000,
latest.cost.net_price.other_acad_calendar.by_income_level.0-30000,
latest.cost.net_price.other_acad_calendar.by_income_level.0-48000,
latest.cost.net_price.other_acad_calendar.by_income_level.75000-plus,
latest.cost.net_price.other_acad_calendar.by_income_level.110001-plus,
latest.cost.net_price.other_acad_calendar.by_income_level.30001-48000,
latest.cost.net_price.other_acad_calendar.by_income_level.30001-75000,
latest.cost.net_price.other_acad_calendar.by_income_level.48001-75000,
latest.cost.net_price.other_acad_calendar.by_income_level.75001-110000,
latest.cost.program_reporter.program_1.cip_6_digit.annualized,
latest.cost.program_reporter.program_1.cip_6_digit.full_program,
latest.cost.program_reporter.program_2.cip_6_digit.annualized,
latest.cost.program_reporter.program_2.cip_6_digit.full_program,
latest.cost.program_reporter.program_3.cip_6_digit.annualized,
latest.cost.program_reporter.program_3.cip_6_digit.full_program,
latest.cost.program_reporter.program_4.cip_6_digit.annualized,
latest.cost.program_reporter.program_4.cip_6_digit.full_program,
latest.cost.program_reporter.program_5.cip_6_digit.annualized,
latest.cost.program_reporter.program_5.cip_6_digit.full_program,
latest.cost.program_reporter.program_6.cip_6_digit.annualized,
latest.cost.program_reporter.program_6.cip_6_digit.full_program,
latest.aid.loan_principal,7000
latest.aid.pell_grant_rate,0.2512
latest.aid.federal_loan_rate,0.0565
latest.aid.dcs_pell_grant_rate,0.2727
latest.aid.plus_loan_pct_lower,0
latest.aid.plus_loan_pct_upper,5
latest.aid.plus_loan_pct_years,2
latest.aid.ftft_pell_grant_rate,0.4175
latest.aid.dcs_federal_loan_rate,0.0629
latest.aid.cumulative_debt.number,4892
latest.aid.cumulative_debt.10th_percentile,2000
latest.aid.cumulative_debt.25th_percentile,3500
latest.aid.cumulative_debt.75th_percentile,12500
latest.aid.cumulative_debt.90th_percentile,21720
latest.aid.ftft_federal_loan_rate,0.0573
latest.aid.median_debt.pell_grant,8454
latest.aid.median_debt.male_students,6737
latest.aid.median_debt.no_pell_grant,5500
latest.aid.median_debt.noncompleters,6945
latest.aid.median_debt.income.0_30000,9447
latest.aid.median_debt.income.30001_75000,7000
latest.aid.median_debt.income.greater_than_75000,5500
latest.aid.median_debt.number.overall,3637
latest.aid.median_debt.number.completers,307
latest.aid.median_debt.number.pell_grant,2285
latest.aid.median_debt.number.male_students,1464
latest.aid.median_debt.number.no_pell_grant,1352
latest.aid.median_debt.number.noncompleters,3330
latest.aid.median_debt.number.income.0_30000,1423
latest.aid.median_debt.number.income.30001_75000,1242
latest.aid.median_debt.number.income.greater_than_75000,972
latest.aid.median_debt.number.female_students,2173
latest.aid.median_debt.number.dependent_students,2183
latest.aid.median_debt.number.independent_students,1454
latest.aid.median_debt.number.first_generation_students,2713
latest.aid.median_debt.number.non_first_generation_students,924
latest.aid.median_debt.female_students,7627
latest.aid.median_debt.completers.overall,10415
latest.aid.median_debt.completers.monthly_payments,110.416333324336
latest.aid.median_debt.dependent_students,5500
latest.aid.median_debt.independent_students,9500
latest.aid.median_debt.first_generation_students,7500
latest.aid.median_debt.non_first_generation_students,6436
latest.aid.students_with_any_loan,0.3098847001
latest.aid.portfolio.grad_plus.count,
latest.aid.portfolio.grad_plus.amount,
latest.aid.portfolio.parent_plus.count,151
latest.aid.portfolio.parent_plus.amount,1444935
latest.aid.portfolio.direct_loans.count,22022
latest.aid.portfolio.direct_loans.amount,234394285
latest.aid.dcs_pell_grant_rate_pooled,0.2942
latest.aid.plus_loan_pct_lower_pooled,0
latest.aid.plus_loan_pct_upper_pooled,5
latest.aid.ftft_pell_grant_rate_pooled,0.3979
latest.aid.dcs_federal_loan_rate_pooled,0.0682
latest.aid.plus_debt.all.all_inst.count,1295
latest.aid.plus_debt.all.all_inst.median,15754
latest.aid.plus_debt.all.eval_inst.count,60
latest.aid.plus_debt.all.eval_inst.median,7000
latest.aid.plus_debt.male.all_inst.count,503
latest.aid.plus_debt.male.all_inst.median,16875
latest.aid.plus_debt.male.eval_inst.count,35
latest.aid.plus_debt.male.eval_inst.median,6000
latest.aid.plus_debt.pell.all_inst.count,713
latest.aid.plus_debt.pell.all_inst.median,12009
latest.aid.plus_debt.pell.eval_inst.count,23
latest.aid.plus_debt.pell.eval_inst.median,7943
latest.aid.plus_debt.not_male.all_inst.count,792
latest.aid.plus_debt.not_male.all_inst.median,15131
latest.aid.plus_debt.not_male.eval_inst.count,25
latest.aid.plus_debt.not_male.eval_inst.median,7750
latest.aid.plus_debt.not_pell.all_inst.count,582
latest.aid.plus_debt.not_pell.all_inst.median,20506
latest.aid.plus_debt.not_pell.eval_inst.count,37
latest.aid.plus_debt.not_pell.eval_inst.median,6000
latest.aid.plus_debt.completers.all_inst.count,100
latest.aid.plus_debt.completers.all_inst.median,15176
latest.aid.plus_debt.completers.all_inst.median_payment,180.45878922827
latest.aid.plus_debt.completers.eval_inst.count,
latest.aid.plus_debt.completers.eval_inst.median,
latest.aid.plus_debt.completers.eval_inst.median_payment,
latest.aid.plus_debt.noncompleters.all_inst.count,1195
latest.aid.plus_debt.noncompleters.all_inst.median,15767
latest.aid.plus_debt.noncompleters.eval_inst.count,
latest.aid.plus_debt.noncompleters.eval_inst.median,
latest.aid.plus_debt.stafford_any_school.all_inst.count,1226
latest.aid.plus_debt.stafford_any_school.all_inst.median,15884
latest.aid.plus_debt.stafford_any_school.eval_inst.count,47
latest.aid.plus_debt.stafford_any_school.eval_inst.median,
latest.aid.plus_debt.stafford_this_school.all_inst.count,310
latest.aid.plus_debt.stafford_this_school.all_inst.median,13815
latest.aid.plus_debt.stafford_this_school.eval_inst.count,36
latest.aid.plus_debt.stafford_this_school.eval_inst.median,7846
latest.aid.plus_debt.nostafford_any_school.all_inst.count,69
latest.aid.plus_debt.nostafford_any_school.all_inst.median,12500
latest.aid.plus_debt.nostafford_any_school.eval_inst.count,13
latest.aid.plus_debt.nostafford_any_school.eval_inst.median,
latest.aid.plus_debt.nostafford_this_school.all_inst.count,985
latest.aid.plus_debt.nostafford_this_school.all_inst.median,16454
latest.aid.plus_debt.nostafford_this_school.eval_inst.count,24
latest.aid.plus_debt.nostafford_this_school.eval_inst.median,5750
latest.aid.ftft_federal_loan_rate_pooled,0.054
latest.aid.median_debt_suppressed.overall,7000
latest.aid.median_debt_suppressed.completers.overall,10415
latest.aid.median_debt_suppressed.completers.monthly_payments,110.416333324336
latest.aid.dcs_undergrads_pell_federal_loan_years,2
latest.aid.ftft_undergrads_pell_federal_loan_years,2
latest.aid.plus_debt_suppressed.completers.all_inst.median,15176
latest.aid.plus_debt_suppressed.completers.all_inst.median_payment,180.45878922827
latest.aid.plus_debt_suppressed.completers.eval_inst.median,
latest.aid.plus_debt_suppressed.completers.eval_inst.median_payment,
latest.earnings.student_count,
latest.earnings.6_yrs_after_entry.median,38251
latest.earnings.6_yrs_after_entry.gt_threshold,0.611
latest.earnings.6_yrs_after_entry.male_students,2473
latest.earnings.6_yrs_after_entry.female_students,2484
latest.earnings.6_yrs_after_entry.independent_students,1698
latest.earnings.6_yrs_after_entry.median_earnings_male,38150
latest.earnings.6_yrs_after_entry.gt_threshold_suppressed,0.611
latest.earnings.6_yrs_after_entry.median_earnings_non_male,38343
latest.earnings.6_yrs_after_entry.median_earnings_dependent,35227
latest.earnings.6_yrs_after_entry.percent_greater_than_25000,0.601
latest.earnings.6_yrs_after_entry.percent_greater_than_28000,0.551
latest.earnings.6_yrs_after_entry.mean_earnings.male_students,35100
latest.earnings.6_yrs_after_entry.mean_earnings.lowest_tercile,32600
latest.earnings.6_yrs_after_entry.mean_earnings.middle_tercile,35100
latest.earnings.6_yrs_after_entry.mean_earnings.female_students,33000
latest.earnings.6_yrs_after_entry.mean_earnings.highest_tercile,37300
latest.earnings.6_yrs_after_entry.mean_earnings.dependent_students,31000
latest.earnings.6_yrs_after_entry.mean_earnings.independent_students,38500
latest.earnings.6_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile,29900
latest.earnings.6_yrs_after_entry.median_earnings_independent,47240
latest.earnings.6_yrs_after_entry.working_not_enrolled.overall,4956
latest.earnings.6_yrs_after_entry.working_not_enrolled.std_dev,35139
latest.earnings.6_yrs_after_entry.working_not_enrolled.mean_earnings,34000
latest.earnings.6_yrs_after_entry.working_not_enrolled.dependent_students,3257
latest.earnings.6_yrs_after_entry.working_not_enrolled.income.lowest_tercile,2860
latest.earnings.6_yrs_after_entry.working_not_enrolled.income.middle_tercile,1664
latest.earnings.6_yrs_after_entry.working_not_enrolled.income.highest_tercile,433
latest.earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.10,7000
latest.earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.25,18824
latest.earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.75,60066
latest.earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.90,62900
latest.earnings.6_yrs_after_entry.working_not_enrolled.dependent_students_lowest_tercile,829
latest.earnings.6_yrs_after_entry.median_earnings_lowest_tercile,36281
latest.earnings.6_yrs_after_entry.median_earnings_middle_tercile,40897
latest.earnings.6_yrs_after_entry.median_earnings_highest_tercile,39457
latest.earnings.6_yrs_after_entry.not_working_not_enrolled.overall,958
latest.earnings.7_yrs_after_entry.median,38124
latest.earnings.7_yrs_after_entry.std_dev,31579
latest.earnings.7_yrs_after_entry.gt_threshold,0.6045
latest.earnings.7_yrs_after_entry.male_students,2654
latest.earnings.7_yrs_after_entry.mean_earnings,37600
latest.earnings.7_yrs_after_entry.female_students,2825
latest.earnings.7_yrs_after_entry.independent_students,2096
latest.earnings.7_yrs_after_entry.median_earnings_male,39515
latest.earnings.7_yrs_after_entry.median_earnings_non_male,36650
latest.earnings.7_yrs_after_entry.not_working_not_enrolled,977
latest.earnings.7_yrs_after_entry.median_earnings_dependent,36086
latest.earnings.7_yrs_after_entry.percent_greater_than_25000,0.65619885921478
latest.earnings.7_yrs_after_entry.median_earnings_independent,41975
latest.earnings.7_yrs_after_entry.working_not_enrolled.overall,5479
latest.earnings.7_yrs_after_entry.working_not_enrolled.dependent_students,3382
latest.earnings.7_yrs_after_entry.working_not_enrolled.income.lowest_tercile,3265
latest.earnings.7_yrs_after_entry.working_not_enrolled.income.middle_tercile,1750
latest.earnings.7_yrs_after_entry.working_not_enrolled.income.highest_tercile,462
latest.earnings.7_yrs_after_entry.working_not_enrolled.earnings_percentile.25,21058
latest.earnings.7_yrs_after_entry.working_not_enrolled.earnings_percentile.75,57799
latest.earnings.7_yrs_after_entry.median_earnings_lowest_tercile,37542
latest.earnings.7_yrs_after_entry.median_earnings_middle_tercile,38397
latest.earnings.7_yrs_after_entry.median_earnings_highest_tercile,40748
latest.earnings.10_yrs_after_entry.median,50159
latest.earnings.10_yrs_after_entry.gt_threshold,0.7193
latest.earnings.10_yrs_after_entry.male_students,2774
latest.earnings.10_yrs_after_entry.female_students,3148
latest.earnings.10_yrs_after_entry.independent_students,2358
latest.earnings.10_yrs_after_entry.consumer.overall_median,40608.5
latest.earnings.10_yrs_after_entry.consumer.median_by_pred_degree,40457
latest.earnings.10_yrs_after_entry.percent_greater_than_25000,0.722
latest.earnings.10_yrs_after_entry.percent_greater_than_28000,0.692
latest.earnings.10_yrs_after_entry.mean_earnings.male_students,49100
latest.earnings.10_yrs_after_entry.mean_earnings.lowest_tercile,45800
latest.earnings.10_yrs_after_entry.mean_earnings.middle_tercile,45800
latest.earnings.10_yrs_after_entry.mean_earnings.female_students,43600
latest.earnings.10_yrs_after_entry.mean_earnings.highest_tercile,47800
latest.earnings.10_yrs_after_entry.mean_earnings.dependent_students,43800
latest.earnings.10_yrs_after_entry.mean_earnings.independent_students,49200
latest.earnings.10_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile,42700
latest.earnings.10_yrs_after_entry.working_not_enrolled.overall,5921
latest.earnings.10_yrs_after_entry.working_not_enrolled.std_dev,45642
latest.earnings.10_yrs_after_entry.working_not_enrolled.mean_earnings,46000
latest.earnings.10_yrs_after_entry.working_not_enrolled.dependent_students,3565
latest.earnings.10_yrs_after_entry.working_not_enrolled.income.lowest_tercile,3453
latest.earnings.10_yrs_after_entry.working_not_enrolled.income.middle_tercile,1992
latest.earnings.10_yrs_after_entry.working_not_enrolled.income.highest_tercile,477
latest.earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.10,8700
latest.earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.25,26375
latest.earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.75,77215
latest.earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.90,82300
latest.earnings.10_yrs_after_entry.working_not_enrolled.dependent_students_lowest_tercile,888
latest.earnings.10_yrs_after_entry.median_earnings.male_students,54063
latest.earnings.10_yrs_after_entry.median_earnings.lowest_tercile,48641
latest.earnings.10_yrs_after_entry.median_earnings.middle_tercile,51762
latest.earnings.10_yrs_after_entry.median_earnings.highest_tercile,55800
latest.earnings.10_yrs_after_entry.median_earnings.non_male_students,47615
latest.earnings.10_yrs_after_entry.median_earnings.dependent_students,48936
latest.earnings.10_yrs_after_entry.median_earnings.independent_students,52097
latest.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,1190
latest.earnings.11_yrs_after_entry.median,49278
latest.earnings.11_yrs_after_entry.gt_threshold,0.691
latest.earnings.11_yrs_after_entry.male_students,1990
latest.earnings.11_yrs_after_entry.female_students,2268
latest.earnings.11_yrs_after_entry.independent_students,1550
latest.earnings.11_yrs_after_entry.working_not_enrolled.overall,4259
latest.earnings.11_yrs_after_entry.working_not_enrolled.std_dev,40043
latest.earnings.11_yrs_after_entry.working_not_enrolled.dependent_students,2708
latest.earnings.11_yrs_after_entry.working_not_enrolled.income.lowest_tercile,2682
latest.earnings.11_yrs_after_entry.working_not_enrolled.income.middle_tercile,1305
latest.earnings.11_yrs_after_entry.working_not_enrolled.income.highest_tercile,274
latest.earnings.11_yrs_after_entry.working_not_enrolled.earnings_percentile.25,26805
latest.earnings.11_yrs_after_entry.working_not_enrolled.earnings_percentile.75,75724
latest.earnings.11_yrs_after_entry.median_earnings.male_students,53321
latest.earnings.11_yrs_after_entry.median_earnings.lowest_tercile,47211
latest.earnings.11_yrs_after_entry.median_earnings.middle_tercile,50965
latest.earnings.11_yrs_after_entry.median_earnings.highest_tercile,59983
latest.earnings.11_yrs_after_entry.median_earnings.non_male_students,46517
latest.earnings.11_yrs_after_entry.median_earnings.dependent_students,47975
latest.earnings.11_yrs_after_entry.median_earnings.independent_students,51049
latest.earnings.11_yrs_after_entry.not_working_not_enrolled.overall,853
latest.earnings.1_yr_after_completion.median,29914
latest.earnings.1_yr_after_completion.overall_count_gt_hs_grad,107
latest.earnings.1_yr_after_completion.overall_count_over_poverty_line,263
latest.earnings.1_yr_after_completion.working_not_enrolled.overall_count,214
latest.earnings.1_yr_after_completion.not_working_not_enrolled.overall_count,43
latest.earnings.4_yrs_after_completion.median,49444
latest.earnings.4_yrs_after_completion.overall_count_gt_hs_grad,1041
latest.earnings.4_yrs_after_completion.working_not_enrolled.overall_count,1434
latest.earnings.4_yrs_after_completion.not_working_not_enrolled.overall_count,111
latest.earnings.5_yrs_after_completion.median,57922
latest.earnings.5_yrs_after_completion.overall_count_gt_hs_grad,1228
latest.earnings.5_yrs_after_completion.working_not_enrolled.overall_count,1526
latest.earnings.5_yrs_after_completion.not_working_not_enrolled.overall_count,154
latest.earnings.8_yrs_after_entry.gt_threshold,0.6822
latest.earnings.8_yrs_after_entry.mean_earnings,40700
latest.earnings.8_yrs_after_entry.std_deviation,38100
latest.earnings.8_yrs_after_entry.median_earnings,44765
latest.earnings.8_yrs_after_entry.median_earnings_male,46691
latest.earnings.8_yrs_after_entry.working_not_enrolled,6064
latest.earnings.8_yrs_after_entry.10th_percentile_earnings,7600
latest.earnings.8_yrs_after_entry.25th_percentile_earnings,23741
latest.earnings.8_yrs_after_entry.75th_percentile_earnings,68657
latest.earnings.8_yrs_after_entry.90th_percentile_earnings,75000
